mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.7001614570617676,0.15573587845677594,0.02317919731140137,0.0011565319317745164,logistic,0.00031622776601683794,"(89, 89)",0.016,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.016}",0.9291058069112932,0.9426661976785086,0.9310344827586207,0.956430812129662,0.9334756314478834,0.9385425861851935,0.010080587776777046,589,0.9841839787979824,0.9899506046670074,0.9817555938037866,0.9863294600136705,0.9803108808290156,0.9845061036222924,0.0034128048026584794
2.0429733753204347,0.4890383929128548,0.02207460403442383,0.0016735490273095718,logistic,0.00031622776601683794,"(89, 89)",0.032,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.032}",0.9232974910394266,0.9221984296930764,0.9211946743432889,0.9360197949805585,0.9289031797070383,0.9263227139526776,0.005534449720343091,1289,0.985954093867763,0.9706565700025814,0.9844994433501756,0.984352287302266,0.9712793733681462,0.9793483535781864,0.006868251985514002
1.5318819999694824,0.18378537507405052,0.023729419708251952,0.0013941819971540362,logistic,0.00031622776601683794,"(89, 89)",0.064,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.064}",0.937565399372166,0.9028030578813251,0.9263759828448892,0.9491525423728813,0.9240551042034616,0.9279904173349447,0.0154402848519431,1213,0.9755765466768785,0.9573781922775212,0.9758445800739276,0.9762367864693445,0.9675313520013744,0.9705134914998093,0.00732448469268136
1.6029298305511475,0.7394755403006453,0.025808048248291016,0.004033681032105417,logistic,0.00031622776601683794,"(89, 89)",0.128,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (89, 89), 'MLP__learning_rate_init': 0.128}",0.9330514446793517,0.8972503617945007,0.0,0.9395413481584434,0.0,0.5539686309264591,0.4525428012476379,2518,0.960027567195038,0.9539050269612107,0.0,0.9424847958297133,0.0,0.5712834779971925,0.46648499642402746
2.6785251617431642,0.027751092268051183,0.05567169189453125,0.003853874372754181,logistic,0.00031622776601683794,"(356, 356)",1e-06,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 1e-06}",0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666665,1.1102230246251565e-16,2375,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
16.563459968566896,4.245721387651543,0.06056089401245117,0.0023730083738124365,logistic,0.00031622776601683794,"(356, 356)",0.001,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.001}",0.8277968690339825,0.929365363929724,0.8265107212475634,0.8468052347959969,0.8226620100892511,0.8506280398193035,0.04024720183987228,2049,0.9017047515415306,0.9818746763335059,0.8823910428426021,0.8869904355093323,0.8880706921944036,0.908206319684275,0.03739326921749606
14.959224653244018,3.8358953724813962,0.05983233451843262,0.0018015629704432807,logistic,0.00031622776601683794,"(356, 356)",0.002,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.002}",0.9137055837563453,0.9082969432314411,0.7932285368802902,0.9319558247239046,0.9171428571428571,0.8928659491469677,0.05043293865470972,1909,0.9884169884169883,0.9827942188575363,0.8693510184746567,0.9662608695652174,0.9662998624484181,0.9546245915525633,0.043540213987293026
10.89949722290039,3.505721364495348,0.06231532096862793,0.002177757141040457,logistic,0.00031622776601683794,"(356, 356)",0.004,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.004}",0.9122807017543859,0.9393511988716501,0.938819320214669,0.9391915641476274,0.46986089644513135,0.8399007362866929,0.18531178684749694,2089,0.9867901869960543,0.9863574351978173,0.9895637296834902,0.9797453209127425,0.5455660493070036,0.8976045444194215,0.1760487747311532
12.059262609481811,1.5318320904374365,0.06131558418273926,0.0012163082783250981,logistic,0.00031622776601683794,"(356, 356)",0.008,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.008}",0.9096892138939672,0.9441517386722865,0.9379900213827512,0.952112676056338,0.906764168190128,0.9301415636390942,0.018468428749301685,1100,0.9868658253927376,0.9924965893587995,0.994026284348865,0.9897119341563785,0.9621896657601544,0.985058059803387,0.011693167085788917
9.538013696670532,1.9882968530851735,0.06091399192810058,0.002605803075444739,logistic,0.00031622776601683794,"(356, 356)",0.016,"{'MLP__activation': 'logistic', 'MLP__alpha': 0.00031622776601683794, 'MLP__hidden_layer_sizes': (356, 356), 'MLP__learning_rate_init': 0.016}",0.9515172654342519,0.9441517386722865,0.9535864978902954,0.9586662035428969,0.9561312607944732,0.9528105932668408,0.004951070435592832,15,0.9928547124872404,0.9895922197577206,0.9938692098092642,0.9851307468808751,0.9896134854418526,0.9902120748753906,0.0030633508887104007
